,房屋名字,标签,地点,住房结构,住房面积,朝向,装修情况,高/低楼层,楼层竣工时间,楼层情况,热度,价格（万元）,每平方米单价
44,万科天誉5房满五东南朝向安静舒适 业主急卖,必看好房,万科天誉 - 龙岗中心城,5室5厅 , 153.15平米 , 东南 , 精装 , 低楼层(共32层) , 2013年建 , 板塔结合,28人关注 / 9个月以前发布,716,单价46700元/平米
45,水木华庭顶楼复式 带38平米大露台 安静看花园,必看好房,水木华庭 - 西丽,5室2厅 , 87.59平米 , 南 北 , 简装 , 高楼层(共9层) , 2003年建 , 塔楼,122人关注 / 8个月以前发布,640,单价73000元/平米
46,前海，别墅，带花园，满五，不唯一，诚心出售。,必看好房,月亮湾山庄 - 前海,5室4厅 , 267.82平米 , 东南 , 简装 , 1层 , 1997年建 , 板楼 ,2人关注 / 1个月以前发布,1875,单价70000元/平米
47,招华曦城五期扩展好的独栋别墅 上下五层 双首层出花园,必看好房,招商华侨城曦城五期 - 曦城,6室3厅 , 365.04平米 , 东南 , 毛坯 , 1层 , 2013年建 , 板塔结合 ,7人关注 / 3个月以前发布,3297,单价90300元/平米
48,天鹅堡正中间位置高层大四房，采光好，户型通透景观美,必看好房,天鹅堡 - 华侨城,4室1厅 , 203.67平米 , 东南 , 简装 , 高楼层(共20层) , 2004年建 , 塔楼,111人关注 / 10个月以前发布,1548,单价76000元/平米
49,朝南看花园，装修漂亮，光线好，住家舒适！地铁口,必看好房,富盈门 - 西乡,2室1厅 , 81.97平米 , 东南 , 精装 , 低楼层(共19层) , 2001年建 , 板楼,3人关注 / 14天以前发布,473,单价57600元/平米
50,承翰陶柏莉朝南向大三房户型方正满五年红本在手,必看好房,承翰陶柏莉 - 大鹏半岛,3室2厅 , 104.18平米 , 南 , 毛坯 , 中楼层(共28层) , 2016年建 , 板塔结合,0人关注 / 10天以前发布,382,单价36600元/平米
51,朝东高层看花园 看房有钥匙 业主自住 装修保养好,必看好房,嘉宝田花园 - 笋岗,2室1厅 , 68.11平米 , 东 , 精装 , 高楼层(共26层) , 2005年建 , 塔楼,3人关注 / 4天以前发布,473,单价69300元/平米
52,店长推荐好房，看小区园林，满五唯一,必看好房,康欣园 - 香梅北,4室2厅 , 123.06平米 , 东北 , 简装 , 中楼层(共24层) , 1999年建 , 塔楼,5人关注 / 14天以前发布,871,单价70700元/平米
53,地铁口大花园社区，精装三房满五唯一，业主诚心出售,必看好房,水晶之城四期 - 横岗,3室2厅 , 89.83平米 , 西南 , 简装 , 高楼层(共6层) , 2005年建 , 板塔结合,9人关注 / 15天以前发布,327,单价36400元/平米
54,满五唯一+厅出阳台+三地铁口物业+门口沃尔玛+总价低,必看好房,龙珠花园C区 - 布吉关,2室1厅 , 57.22平米 , 西 , 简装 , 低楼层(共31层) , 1999年建 , 塔楼,8人关注 / 6天以前发布,217,单价37800元/平米
55,大芬地铁口 和通花园 中楼层居家三房户型方正业主急售,必看好房,和通花园 - 布吉大芬,3室1厅 , 86.02平米 , 东南 , 精装 , 中楼层(共8层) , 2002年建 , 板楼,2人关注 / 10天以前发布,322,单价37400元/平米
56,清湖北地铁口，正规三房，毛坯出售。,必看好房,天玑公馆 - 龙华中心,3室2厅 , 82.86平米 , 南 东南 , 毛坯 , 低楼层(共41层) , 2016年建 , 板塔结合,0人关注 / 11天以前发布,469,单价56500元/平米
57,业主诚心出售价格有空间，装修未改动,必看好房,京基御景中央 - 大运新城,3室2厅 , 86.33平米 , 西南 , 精装 , 中楼层(共30层) , 塔楼,无,3人关注 / 15天以前发布,455,单价52700元/平米
58,业主诚心出售 红本在手满五年 税费少 低总价 看房方便,必看好房,鸿威海怡轩 - 梅沙,1室0厅 , 48.81平米 , 东南 , 精装 , 中楼层(共8层) , 2009年建 , 板楼,0人关注 / 6天以前发布,165,单价33800元/平米
59,钥匙在手看房方便 红本满五年 普通住宅税低 价格可谈,必看好房,黄埔雅苑四期 - 福田中心,1室1厅 , 80.25平米 , 西北 , 简装 , 中楼层(共30层) , 2003年建 , 塔楼,2人关注 / 9天以前发布,731,单价91000元/平米
60,中兆花园 2室1厅 东北,必看好房,中兆花园 - 布吉大芬,2室1厅 , 65.08平米 , 东北 , 简装 , 低楼层(共22层) , 2001年建 , 板楼,3人关注 / 6天以前发布,261,单价40100元/平米
61,碧海富通城三期 4室2厅 东南,必看好房,碧海富通城三期 - 碧海,4室2厅 , 141.09平米 , 东南 , 简装 , 低楼层(共32层) , 2007年建 , 塔楼,3人关注 / 9天以前发布,991,单价70200元/平米
62,2018年次新小区，满五年红本在手 高楼层看花园景观,必看好房,中海天钻 - 万象城,3室2厅 , 100.48平米 , 南 , 简装 , 高楼层(共35层) , 2017年建 , 板塔结合,3人关注 / 10天以前发布,861,单价85600元/平米
63,笋岗大厦 2室1厅 东南,必看好房,笋岗大厦 - 笋岗,2室1厅 , 63.83平米 , 东南 , 简装 , 高楼层(共23层) , 2004年建 , 板塔结合,0人关注 / 4天以前发布,241,单价37600元/平米
64,龙岗区政府旁满5年唯一，税费少，大3房，万科配套,必看好房,新鸿花园 - 龙岗中心城,2室2厅 , 82.92平米 , 东南 , 简装 , 低楼层(共7层) , 1997年建 , 板塔结合,1人关注 / 8天以前发布,306,单价36900元/平米
65,红本在手，端头位西南向，安静不吵,必看好房,佳华书苑雅阁 - 新安,2室2厅 , 64.87平米 , 西南 , 精装 , 中楼层(共16层) , 2008年建 , 板塔结合,0人关注 / 4天以前发布,651,单价100300元/平米
66,刚需大两房 拎包入住 安静宜居,必看好房,康达尔花园一期 - 布吉大芬,2室2厅 , 77.96平米 , 南 , 简装 , 中楼层(共10层) , 2001年建 , 板塔结合,1人关注 / 4天以前发布,300,单价38400元/平米
67,小区整体保养好，高档社区宏发物业，房子户型方正通透,必看好房,宏发上域 - 公明,1室1厅 , 34.59平米 , 南 , 精装 , 中楼层(共17层) , 2012年建 , 板塔结合,2人关注 / 13天以前发布,164,单价47200元/平米
68,荔树人家 2室1厅 北,必看好房,荔树人家 - 新洲,2室1厅 , 52.26平米 , 北 , 简装 , 高楼层(共11层) , 2001年建 , 塔楼,0人关注 / 1天以前发布,340,单价65000元/平米
69,小区就这套便宜，传统户型三房两卫开发商精装,必看好房,融湖中心城二期 - 平湖,3室2厅 , 89.07平米 , 南 北 , 精装 , 中楼层(共32层) , 2018年建 , 板塔结合,0人关注 / 14天以前发布,384,单价43000元/平米
70,地铁口物业 满五唯一 红本 楼层好 税费少 采光好,必看好房,鹏城悦里·名城汇 - 布吉大芬,1室1厅 , 43.87平米 , 西北 , 简装 , 高楼层(共26层) , 1998年建 , 板塔结合,7人关注 / 5天以前发布,134,单价30500元/平米
71,满五年家庭唯一，东南安静，采光通风好，楼层适中,必看好房,青春庭园 - 西乡,1室0厅 , 24.66平米 , 东南 , 简装 , 中楼层(共6层) , 2003年建 , 板塔结合,1人关注 / 2天以前发布,148,单价60000元/平米
72,此房满五唯一 南向通透户型 看花园 采光视野好,必看好房,THETOWN乐城 - 大运新城,4室1厅 , 130.63平米 , 东南 , 精装 , 低楼层(共33层) , 2015年建 , 塔楼,8人关注 / 24天以前发布,591,单价45200元/平米
73,丹竹头地铁口 英郡年华高层看花园泳池 满五年红本,必看好房,英郡年华花园一期 - 丹竹头,3室1厅 , 86.76平米 , 北 , 精装 , 30层 , 2006年建 , 板塔结合,0人关注 / 6天以前发布,383,单价44100元/平米
74,住家装修，正规三房，朝南客厅出阳台,必看好房,润科华府 - 曦城,3室2厅 , 88.84平米 , 南 , 精装 , 中楼层(共30层) , 2018年建 , 塔楼,1人关注 / 5天以前发布,534,单价60000元/平米
75,宝珠花园 3室2厅 南,必看好房,宝珠花园 - 西丽,3室2厅 , 86.92平米 , 南 , 精装 , 中楼层(共11层) , 2000年建 , 塔楼,0人关注 / 6天以前发布,600,单价69000元/平米
76,"阅山华府，精装复式4房,满五年中高楼层，业主诚心出售",必看好房,阅山华府 - 龙岗中心城,4室2厅 , 80.96平米 , 东南 , 精装 , 32层 , 2012年建 , 板塔结合,3人关注 / 8天以前发布,326,单价40200元/平米
77,红本在手，3+1房两卫、客厅餐厅方正实用，业主诚售,必看好房,长安花园 - 百花,3室2厅 , 129.12平米 , 东南 , 简装 , 低楼层(共30层) , 1995年建 , 塔楼,0人关注 / 4天以前发布,1292,单价100000元/平米
78,银信四房，房子满五年，诚心出售,必看好房,银信中心二期 - 横岗,4室2厅 , 88.37平米 , 西南 , 精装 , 低楼层(共30层) , 2016年建 , 塔楼,1人关注 / 5天以前发布,405,单价45800元/平米
79,竹子林高层电梯小三房，优质景观，安静社区房。,必看好房,竹盛花园三期 - 竹子林,3室2厅 , 90.89平米 , 西南 , 简装 , 低楼层(共27层) , 2006年建 , 板塔结合,0人关注 / 9天以前发布,750,单价82500元/平米
80,御景水岸精装三房，南北通透带入户，无暗房，满五年,必看好房,御景水岸花园 - 福永,3室2厅 , 83.64平米 , 南 北 , 精装 , 中楼层(共21层) , 2013年建 , 板楼,0人关注 / 6天以前发布,419,单价50000元/平米
81,珑禧 标准3房1卫 户型房子 满五唯一 采光充足,必看好房,珑禧 - 龙岗中心城,3室2厅 , 81.57平米 , 东南 , 精装 , 低楼层(共32层) , 2015年建 , 板塔结合,0人关注 / 5天以前发布,306,单价37500元/平米
82,水晶之城四期 3室2厅 南,必看好房,水晶之城四期 - 横岗,3室2厅 , 110.19平米 , 南 , 精装 , 低楼层(共6层) , 2002年建 , 板塔结合,0人关注 / 5天以前发布,402,单价36400元/平米
83,南北通透3房 高楼层 采光通风好 满5年 业主诚心出售,必看好房,花语岸 - 布吉街,3室2厅 , 83.33平米 , 南 北 , 简装 , 30层 , 2010年建 , 板塔结合,3人关注 / 5天以前发布,390,单价46700元/平米
84,鹏兴花园六期 次顶楼精装四居室 满五年 南北通透,必看好房,鹏兴花园六期 - 莲塘,4室2厅 , 93.13平米 , 南 北 , 精装 , 高楼层(共11层) , 2003年建 , 板楼,4人关注 / 11天以前发布,555,单价59500元/平米
85,前海自贸区 地铁一号线 精装三房出售,必看好房,星海名城二期七组团 - 前海,3室1厅 , 96.79平米 , 东 , 精装 , 中楼层(共14层) , 2002年建 , 板塔结合,12人关注 / 13天以前发布,716,单价73900元/平米
86,满五唯一红本税费少高层客厅出阳台.,必看好房,阳光花地苑 - 前海,1室1厅 , 40.23平米 , 南 , 简装 , 27层 , 2010年建 , 塔楼,0人关注 / 4天以前发布,407,单价101000元/平米
87,信义御城四房，厅出阳台，诚心出售,必看好房,信义御城豪园 - 横岗,4室2厅 , 113.39平米 , 东南 , 精装 , 低楼层(共33层) , 2013年建 , 板塔结合,0人关注 / 3天以前发布,465,单价41000元/平米
88,海馨苑 4室2厅 南,必看好房,海馨苑 - 华强北,4室2厅 , 149.1平米 , 南 , 精装 , 中楼层(共21层) , 2009年建 , 板塔结合,4人关注 / 14天以前发布,1556,单价104300元/平米
89,满五唯一红本，税费少，楼层好，住家安静，交通便利。,必看好房,友联花园 - 布吉大芬,3室1厅 , 78.81平米 , 东南 , 精装 , 中楼层(共7层) , 2002年建 , 塔楼,5人关注 / 3天以前发布,285,单价36100元/平米
